episode,timestep,reward
752,612000,68.5777
754,614000,84.159
756,616000,83.5758
758,618000,78.9461
760,620000,-8.4497
762,622000,84.9001
764,624000,83.6235
766,626000,73.4427
768,628000,65.3924
770,630000,75.1931
773,632000,31.0555
775,634000,-6.4424
777,636000,77.8873
780,638000,21.7767
782,640000,78.3368
784,642000,7.3094
787,644000,39.4177
789,646000,31.1137
791,648000,1.6538
793,650000,75.8703
795,652000,69.8834
797,654000,80.6547
799,656000,81.6295
801,658000,23.2479
803,660000,74.5708
806,662000,29.4095
809,664000,-20.8667
811,666000,72.0307
813,668000,89.3602
815,670000,91.4717
817,672000,81.6923
819,674000,85.323
821,676000,93.9102
823,678000,85.0157
825,680000,74.875
827,682000,95.5454
829,684000,82.6047
831,686000,92.1258
833,688000,78.3704
835,690000,89.3328
837,692000,43.47
839,694000,79.6973
841,696000,77.6377
843,698000,92.4743
845,700000,92.3416
847,702000,89.7267
849,704000,92.5843
851,706000,32.1128
853,708000,98.5764
856,710000,25.6126
858,712000,83.5322
860,714000,81.2177
862,716000,101.5624
864,718000,95.754
866,720000,26.4598
868,722000,97.8136
870,724000,94.1726
872,726000,83.8313
875,728000,42.7245
877,730000,94.7261
879,732000,85.8125
881,734000,11.8235
883,736000,100.0046
885,738000,89.9189
887,740000,90.8144
890,742000,-36.3394
893,744000,18.5872
895,746000,98.3929
897,748000,91.4071
899,750000,104.3065
902,752000,53.79
904,754000,81.8904
906,756000,99.2119
908,758000,-5.3244
910,760000,98.5653
913,762000,42.0885
915,764000,100.7623
918,766000,30.94
920,768000,19.9431
922,770000,107.1268
924,772000,89.3497
926,774000,87.3684
930,776000,-40.1305
932,778000,26.876
934,780000,75.2029
937,782000,-34.0048
939,784000,27.0846
941,786000,101.6586
943,788000,93.9849
945,790000,94.5264
948,792000,30.9361
950,794000,103.1933
952,796000,96.5332
954,798000,96.6342
956,800000,101.2586
958,802000,28.2346
960,804000,108.173
962,806000,101.5577
964,808000,98.9551
966,810000,103.9916
968,812000,15.4491
970,814000,100.3776
972,816000,98.3266
976,818000,-0.5576
978,820000,41.4575
980,822000,103.7341
982,824000,36.7367
985,826000,38.6768
987,828000,106.5566
990,830000,47.4541
992,832000,43.3151
995,834000,-19.8918
997,836000,41.0837
999,838000,38.5025
1001,840000,108.4
1003,842000,34.0876
1006,844000,55.8762
1008,846000,3.2595
1011,848000,38.6918
1014,850000,30.2914
1016,852000,112.7212
1018,854000,33.8376
1020,856000,105.5755
1022,858000,109.2136
1024,860000,109.8961
1026,862000,28.8946
1028,864000,109.7569
1030,866000,43.4269
1032,868000,108.6939
1034,870000,105.3612
